EMSR,AOI,folderType,folderPath,activationDate,suggested_startDate,suggested_endDate
EMSR214,AOI03,optimal,dataOptimal/,2017-07-28T00:00:00.000,2017-07-28T10:00:00Z,2017-08-28T10:00:00Z
EMSR214,AOI05,optimal,dataOptimal/,2017-07-28T00:00:00.000,2017-07-28T10:00:00Z,2017-08-28T10:00:00Z
EMSR214,AOI06,optimal,dataOptimal/,2017-07-28T00:00:00.000,2017-07-28T10:00:00Z,2017-08-28T10:00:00Z
EMSR216,AOI01,optimal,dataOptimal/,2017-08-04T00:00:00.000,2017-08-04T10:00:00Z,2017-09-05T10:00:00Z
EMSR217,AOI01,optimal,dataOptimal/,2017-08-04T00:00:00.000,2017-08-04T10:00:00Z,2017-09-05T10:00:00Z
EMSR217,AOI02,optimal,dataOptimal/,2017-08-04T00:00:00.000,2017-08-04T10:00:00Z,2017-09-05T10:00:00Z
EMSR217,AOI03,optimal,dataOptimal/,2017-08-04T00:00:00.000,2017-08-04T10:00:00Z,2017-09-05T10:00:00Z
EMSR217,AOI04,optimal,dataOptimal/,2017-08-04T00:00:00.000,2017-08-04T10:00:00Z,2017-09-05T10:00:00Z
EMSR218,AOI01,subOptimal_cloudy,dataSuboptimal/cloudy/,2017-08-06T00:00:00.000,2017-08-06T10:00:00Z,2017-09-05T10:00:00Z
EMSR219,AOI01,optimal,dataOptimal/,2017-08-06T00:00:00.000,2017-08-06T10:00:00Z,2017-09-05T10:00:00Z
EMSR220,AOI01,optimal,dataOptimal/,2017-08-06T00:00:00.000,2017-08-06T10:00:00Z,2017-09-05T10:00:00Z
EMSR220,AOI02,optimal,dataOptimal/,2017-08-06T00:00:00.000,2017-08-06T10:00:00Z,2017-09-05T10:00:00Z
EMSR221,AOI01,optimal,dataOptimal/,2017-08-15T00:00:00.000,2017-08-15T10:00:00Z,2017-09-15T10:00:00Z
EMSR227,AOI01,optimal,dataOptimal/,2017-08-22T00:00:00.000,2017-08-22T10:00:00Z,2017-10-01T10:00:00Z
EMSR230,AOI01,optimal,dataOptimal/,2017-08-09T00:00:00.000,2017-08-09T10:00:00Z,2017-09-09T10:00:00Z
EMSR237,AOI01,optimal,dataOptimal/,2017-09-10T00:00:00.000,2017-09-10T10:00:00Z,2017-10-15T10:00:00Z
EMSR239,AOI01,optimal,dataOptimal/,2017-09-12T00:00:00.000,2017-09-12T10:00:00Z,2017-10-12T10:00:00Z
EMSR242,AOI01,optimal,dataOptimal/,2017-09-24T00:00:00.000,2017-09-24T10:00:00Z,2017-10-24T10:00:00Z
EMSR247,AOI01,optimal,dataOptimal/,2017-09-25T00:00:00.000,2017-09-25T10:00:00Z,2017-10-24T10:00:00Z
EMSR248,AOI01,optimal,dataOptimal/,2017-08-08T00:00:00.000,2017-08-08T10:00:00Z,2017-09-08T10:00:00Z
EMSR248,AOI02,optimal,dataOptimal/,2017-09-19T00:00:00.000,2017-09-19T10:00:00Z,2017-10-19T10:00:00Z
EMSR248,AOI03,optimal,dataOptimal/,2017-08-28T00:00:00.000,2017-08-28T10:00:00Z,2017-09-24T10:00:00Z
EMSR248,AOI04,optimal,dataOptimal/,2017-09-04T00:00:00.000,2017-09-04T10:00:00Z,2017-10-04T10:00:00Z
EMSR250,AOI01,optimal,dataOptimal/,2017-10-17T00:00:00.000,2017-10-17T10:00:00Z,2017-11-17T10:00:00Z
EMSR250,AOI02,optimal,dataOptimal/,2017-10-17T00:00:00.000,2017-10-17T10:00:00Z,2017-11-17T10:00:00Z
EMSR250,AOI03,optimal,dataOptimal/,2017-10-24T00:00:00.000,2017-10-24T10:00:00Z,2017-11-24T10:00:00Z
EMSR250,AOI04,optimal,dataOptimal/,2017-10-17T00:00:00.000,2017-10-17T10:00:00Z,2017-11-17T10:00:00Z
EMSR252,AOI01,optimal,dataOptimal/,2017-09-24T00:00:00.000,2017-09-24T10:00:00Z,2017-10-24T10:00:00Z
EMSR253,AOI01,optimal,dataOptimal/,2017-10-30T00:00:00.000,2017-10-30T10:00:00Z,2017-11-30T10:00:00Z
EMSR253,AOI02,optimal,dataOptimal/,2017-10-30T00:00:00.000,2017-10-30T10:00:00Z,2017-11-30T10:00:00Z
EMSR253,AOI03,optimal,dataOptimal/,2017-10-30T00:00:00.000,2017-10-30T10:00:00Z,2017-11-30T10:00:00Z
EMSR253,AOI04,optimal,dataOptimal/,2017-10-30T00:00:00.000,2017-10-30T10:00:00Z,2017-11-30T10:00:00Z
EMSR253,AOI05,subOptimal_cloudy,dataSuboptimal/cloudy/,2017-10-30T00:00:00.000,2017-10-30T10:00:00Z,2017-11-30T10:00:00Z
EMSR253,AOI06,subOptimal_cloudy,dataSuboptimal/cloudy/,2017-10-30T00:00:00.000,2017-10-30T10:00:00Z,2017-11-30T10:00:00Z
EMSR254,AOI01,optimal,dataOptimal/,2017-11-06T00:00:00.000,2017-11-06T10:00:00Z,2017-12-06T10:00:00Z
EMSR254,AOI02,optimal,dataOptimal/,2017-11-06T00:00:00.000,2017-11-06T10:00:00Z,2017-12-06T10:00:00Z
EMSR254,AOI03,optimal,dataOptimal/,2017-11-06T00:00:00.000,2017-11-06T10:00:00Z,2017-12-06T10:00:00Z
EMSR254,AOI04,optimal,dataOptimal/,2017-11-06T00:00:00.000,2017-11-06T10:00:00Z,2017-12-06T10:00:00Z
EMSR259,AOI01,optimal,dataOptimal/,2017-12-05T00:00:00.000,2017-12-05T10:00:00Z,2018-01-05T10:00:00Z
EMSR278,AOI01,optimal,dataOptimal/,2018-04-12T00:00:00.000,2018-04-12T10:00:00Z,2018-07-01T10:00:00Z
EMSR281,AOI01,subOptimal_cloudy,dataSuboptimal/cloudy/,2017-04-30T00:00:00.000,2017-04-30T10:00:00Z,2017-07-30T10:00:00Z
EMSR281,AOI02,subOptimal_cloudy,dataSuboptimal/cloudy/,2017-04-30T00:00:00.000,2017-04-30T10:00:00Z,2017-07-30T10:00:00Z
EMSR281,AOI03,subOptimal_cloudy,dataSuboptimal/cloudy/,2017-04-30T00:00:00.000,2017-04-30T10:00:00Z,2017-07-30T10:00:00Z
EMSR288,AOI01,optimal,dataOptimal/,2018-06-02T00:00:00.000,2018-06-02T10:00:00Z,2018-07-02T10:00:00Z
EMSR290,AOI03,optimal,dataOptimal/,2018-06-09T00:00:00.000,2018-06-09T10:00:00Z,2018-07-10T10:00:00Z
EMSR291,AOI01,optimal,dataOptimal/,2018-07-11T00:00:00.000,2018-07-11T10:00:00Z,2018-08-11T10:00:00Z
EMSR291,AOI02,optimal,dataOptimal/,2018-07-11T00:00:00.000,2018-07-11T10:00:00Z,2018-08-11T10:00:00Z
EMSR295,AOI01,optimal,dataOptimal/,2018-07-05T00:00:00.000,2018-07-05T10:00:00Z,2018-08-05T10:00:00Z
EMSR299,AOI01,optimal,dataOptimal/,2018-07-27T00:00:00.000,2018-07-27T10:00:00Z,2018-08-27T10:00:00Z
EMSR300,AOI01,optimal,dataOptimal/,2018-07-30T00:00:00.000,2018-07-30T10:00:00Z,2018-08-30T10:00:00Z
EMSR300,AOI02,optimal,dataOptimal/,2018-07-25T00:00:00.000,2018-07-25T10:00:00Z,2018-08-25T10:00:00Z
EMSR302,AOI01,optimal,dataOptimal/,2018-08-05T00:00:00.000,2018-08-05T10:00:00Z,2018-09-05T10:00:00Z
EMSR303,AOI01,optimal,dataOptimal/,2018-08-10T00:00:00.000,2018-08-10T10:00:00Z,2018-09-10T10:00:00Z
EMSR305,AOI01,optimal,dataOptimal/,2018-08-11T00:00:00.000,2018-08-11T10:00:00Z,2018-09-11T10:00:00Z
EMSR306,AOI01,optimal,dataOptimal/,2018-08-15T00:00:00.000,2018-08-15T10:00:00Z,2018-09-15T10:00:00Z
